nick,unit,login,password
Admin,,admin@warhammer.cz,Admin
Arnold,Knight,arnold@warhammer.cz,Arnold
Paulita,Battle pilgrim,paulita@warhammer.cz,Paulita
Miguelina,Battle pilgrim,miguelina@warhammer.cz,Miguelina
Sharee,Battle pilgrim,sharee@warhammer.cz,Sharee
Kyla,Peasant,kyla@warhammer.cz,Kyla
Su,Peasant,su@warhammer.cz,Su
Albertina,Peasant,albertina@warhammer.cz,Albertina
Eduardo,Peasant,eduardo@warhammer.cz,Eduardo
Serena,Peasant,serena@warhammer.cz,Serena
Addie,Peasant,addie@warhammer.cz,Addie
Tomen,Master,tomen@warhammer.cz,Tomen
Meridith,Khainite,meridith@warhammer.cz,Meridith
Rusty,Khainite,rusty@warhammer.cz,Rusty
Alphonso,Khainite,alphonso@warhammer.cz,Alphonso
Junie,Corsair,junie@warhammer.cz,Junie
Madelaine,Corsair,madelaine@warhammer.cz,Madelaine
Lanora,Corsair,lanora@warhammer.cz,Lanora
Latoya,Corsair,latoya@warhammer.cz,Latoya
Darnell,Corsair,darnell@warhammer.cz,Darnell
Matthew,Corsair,matthew@warhammer.cz,Matthew
Aridion,Thane,aridion@warhammer.cz,Aridion
Chantal,Slayer,chantal@warhammer.cz,Chantal
Brunilda,Slayer,brunilda@warhammer.cz,Brunilda
Maureen,Slayer,maureen@warhammer.cz,Maureen
Jacquelyn,Ironbreaker,jacquelyn@warhammer.cz,Jacquelyn
Corazon,Ironbreaker,corazon@warhammer.cz,Corazon
Deneen,Ironbreaker,deneen@warhammer.cz,Deneen
Carley,Ironbreaker,carley@warhammer.cz,Carley
Ninfa,Ironbreaker,ninfa@warhammer.cz,Ninfa
Rueben,Ironbreaker,rueben@warhammer.cz,Rueben
Blizzy,Sigmar priest,blizzy@warhammer.cz,Blizzy
Sibyl,Henchmen,sibyl@warhammer.cz,Sibyl
Avis,Henchmen,avis@warhammer.cz,Avis
Mardell,Henchmen,mardell@warhammer.cz,Mardell
Alycia,State troop,alycia@warhammer.cz,Alycia
Pat,State troop,pat@warhammer.cz,Pat
Renda,State troop,renda@warhammer.cz,Renda
Elene,State troop,elene@warhammer.cz,Elene
Ok,State troop,ok@warhammer.cz,Ok
Alethea,State troop,alethea@warhammer.cz,Alethea
Resli,Prince,resli@warhammer.cz,Resli
Goldie,Swordmaster,goldie@warhammer.cz,Goldie
Milford,Swordmaster,milford@warhammer.cz,Milford
Dallas,Swordmaster,dallas@warhammer.cz,Dallas
Refugio,Sea guard,refugio@warhammer.cz,Refugio
Inez,Sea guard,inez@warhammer.cz,Inez
Agustina,Sea guard,agustina@warhammer.cz,Agustina
Rikki,Sea guard,rikki@warhammer.cz,Rikki
Michiko,Sea guard,michiko@warhammer.cz,Michiko
Danyel,Sea guard,danyel@warhammer.cz,Danyel
Palda,Big boss,palda@warhammer.cz,Palda
Marla,Troll,marla@warhammer.cz,Marla
Ismael,Troll,ismael@warhammer.cz,Ismael
Harris,Troll,harris@warhammer.cz,Harris
Bambi,Boyzz,bambi@warhammer.cz,Bambi
Angla,Boyzz,angla@warhammer.cz,Angla
Shela,Boyzz,shela@warhammer.cz,Shela
Asuncion,Boyzz,asuncion@warhammer.cz,Asuncion
Lan,Boyzz,lan@warhammer.cz,Lan
Lorretta,Boyzz,lorretta@warhammer.cz,Lorretta
Loner,Chieftain,loner@warhammer.cz,Loner
Dortha,Stormvermin,dortha@warhammer.cz,Dortha
Kattie,Stormvermin,kattie@warhammer.cz,Kattie
Le,Stormvermin,le@warhammer.cz,Le
Catrice,Clanrat,catrice@warhammer.cz,Catrice
Queen,Clanrat,queen@warhammer.cz,Queen
Alice,Clanrat,alice@warhammer.cz,Alice
Christie,Clanrat,christie@warhammer.cz,Christie
Prudence,Clanrat,prudence@warhammer.cz,Prudence
Clair,Clanrat,clair@warhammer.cz,Clair
Karen,Vampire,karen@warhammer.cz,Karen
Taunya,Grave guard,taunya@warhammer.cz,Taunya
Kristie,Grave guard,kristie@warhammer.cz,Kristie
Kathryn,Grave guard,kathryn@warhammer.cz,Kathryn
Chauncey,Zombie,chauncey@warhammer.cz,Chauncey
John,Zombie,john@warhammer.cz,John
Elli,Zombie,elli@warhammer.cz,Elli
Cherie,Zombie,cherie@warhammer.cz,Cherie
Jorge,Zombie,jorge@warhammer.cz,Jorge
Alison,Zombie,alison@warhammer.cz,Alison
Michael,Chaos champion,michael@warhammer.cz,Michael
Dustin,Chosen,dustin@warhammer.cz,Dustin
Missy,Chosen,missy@warhammer.cz,Missy
Solange,Chosen,solange@warhammer.cz,Solange
Edna,Marauder,edna@warhammer.cz,Edna
Dodie,Marauder,dodie@warhammer.cz,Dodie
Glendora,Marauder,glendora@warhammer.cz,Glendora
Bryan,Marauder,bryan@warhammer.cz,Bryan
Sally,Marauder,sally@warhammer.cz,Sally
Kristyn,Marauder,kristyn@warhammer.cz,Kristyn
David,Noble,david@warhammer.cz,David
Kimberley,Wardancer,kimberley@warhammer.cz,Kimberley
Shila,Wardancer,shila@warhammer.cz,Shila
Contessa,Wardancer,contessa@warhammer.cz,Contessa
Donnetta,Glade guard,donnetta@warhammer.cz,Donnetta
Kary,Glade guard,kary@warhammer.cz,Kary
Marcell,Glade guard,marcell@warhammer.cz,Marcell
Heike,Glade guard,heike@warhammer.cz,Heike
Margert,Glade guard,margert@warhammer.cz,Margert
Hyo,Glade guard,hyo@warhammer.cz,Hyo
